"동별","연령별","시점","계","한국인","등록외국인",
"부암동","5~9세","2024 년","245","245","-",
"부암동","5~9세","2025 년","207","207","-",
"부암동","10~14세","2024 년","368","368","-",
"부암동","10~14세","2025 년","341","341","-",
"부암동","15~19세","2024 년","408","401","7",
"부암동","15~19세","2025 년","408","404","4",
"부암동","20~24세","2024 년","555","478","77",
"부암동","20~24세","2025 년","524","439","85",
"부암동","25~29세","2024 년","631","566","65",
"부암동","25~29세","2025 년","648","587","61",
"부암동","30~34세","2024 년","701","665","36",
"부암동","30~34세","2025 년","674","646","28",
"부암동","35~39세","2024 년","565","538","27",
"부암동","35~39세","2025 년","549","526","23",
"부암동","40~44세","2024 년","678","659","19",
"부암동","40~44세","2025 년","661","649","12",
"부암동","45~49세","2024 년","686","675","11",
"부암동","45~49세","2025 년","671","661","10",
"부암동","50~54세","2024 년","840","833","7",
"부암동","50~54세","2025 년","794","791","3",
"부암동","55~59세","2024 년","795","787","8",
"부암동","55~59세","2025 년","809","803","6",
"부암동","60~64세","2024 년","728","725","3",
"부암동","60~64세","2025 년","709","706","3",
"부암동","65~69세","2024 년","668","664","4",
"부암동","65~69세","2025 년","665","661","4",
"부암동","70~74세","2024 년","414","412","2",
"부암동","70~74세","2025 년","464","460","4",
"부암동","75~79세","2024 년","373","372","1",
"부암동","75~79세","2025 년","377","376","1",
"부암동","80~84세","2024 년","272","272","-",
"부암동","80~84세","2025 년","268","268","-",
"부암동","85~89세","2024 년","174","174","-",
"부암동","85~89세","2025 년","178","178","-",
"부암동","90~94세","2024 년","63","63","-",
"부암동","90~94세","2025 년","70","70","-",
"부암동","95~99세","2024 년","27","27","-",
"부암동","95~99세","2025 년","20","20","-",
"부암동","100세 이상","2024 년","2","2","-",
"부암동","100세 이상","2025 년","4","4","-",
"평창동","합계","2024 년","17454","17251","203",
"평창동","합계","2025 년","17270","17071","199",
"평창동","0~4세","2024 년","372","370","2",
"평창동","0~4세","2025 년","371","370","1",
"평창동","5~9세","2024 년","572","569","3",
"평창동","5~9세","2025 년","506","505","1",
"평창동","10~14세","2024 년","759","752","7",
"평창동","10~14세","2025 년","740","734","6",
"평창동","15~19세","2024 년","760","759","1",
"평창동","15~19세","2025 년","797","797","-",
"평창동","20~24세","2024 년","901","898","3",
"평창동","20~24세","2025 년","800","796","4",
"평창동","25~29세","2024 년","1027","1011","16",
"평창동","25~29세","2025 년","972","954","18",
"평창동","30~34세","2024 년","1070","1053","17",
"평창동","30~34세","2025 년","1066","1049","17",
"평창동","35~39세","2024 년","1022","997","25",
"평창동","35~39세","2025 년","986","952","34",
"평창동","40~44세","2024 년","1269","1240","29",
"평창동","40~44세","2025 년","1232","1206","26",
"평창동","45~49세","2024 년","1188","1165","23",
"평창동","45~49세","2025 년","1241","1222","19",
"평창동","50~54세","2024 년","1548","1527","21",
"평창동","50~54세","2025 년","1442","1426","16",
"평창동","55~59세","2024 년","1588","1577","11",
"평창동","55~59세","2025 년","1559","1541","18",
"평창동","60~64세","2024 년","1546","1526","20",
"평창동","60~64세","2025 년","1510","1493","17",
"평창동","65~69세","2024 년","1311","1300","11",
"평창동","65~69세","2025 년","1370","1361","9",
"평창동","70~74세","2024 년","824","818","6",
"평창동","70~74세","2025 년","911","904","7",
"평창동","75~79세","2024 년","666","663","3",
"평창동","75~79세","2025 년","658","658","-",
"평창동","80~84세","2024 년","483","481","2",
"평창동","80~84세","2025 년","502","500","2",
"평창동","85~89세","2024 년","350","347","3",
"평창동","85~89세","2025 년","375","372","3",
"평창동","90~94세","2024 년","153","153","-",
"평창동","90~94세","2025 년","189","188","1",
"평창동","95~99세","2024 년","33","33","-",
"평창동","95~99세","2025 년","34","34","-",
"평창동","100세 이상","2024 년","12","12","-",
"평창동","100세 이상","2025 년","9","9","-",
"무악동","합계","2024 년","7867","7839","28",
"무악동","합계","2025 년","7714","7691","23",
"무악동","0~4세","2024 년","188","188","-",
"무악동","0~4세","2025 년","178","178","-",
"무악동","5~9세","2024 년","310","310","-",
"무악동","5~9세","2025 년","287","287","-",
"무악동","10~14세","2024 년","468","468","-",
"무악동","10~14세","2025 년","420","420","-",
"무악동","15~19세","2024 년","451","451","-",
"무악동","15~19세","2025 년","440","440","-",
"무악동","20~24세","2024 년","418","417","1",
"무악동","20~24세","2025 년","401","401","-",
"무악동","25~29세","2024 년","376","376","-",
"무악동","25~29세","2025 년","392","392","-",
"무악동","30~34세","2024 년","394","388","6",
"무악동","30~34세","2025 년","391","385","6",
"무악동","35~39세","2024 년","432","427","5",
"무악동","35~39세","2025 년","410","406","4",
"무악동","40~44세","2024 년","600","597","3",
"무악동","40~44세","2025 년","595","592","3",
"무악동","45~49세","2024 년","651","648","3",
"무악동","45~49세","2025 년","630","628","2",
"무악동","50~54세","2024 년","823","818","5",
"무악동","50~54세","2025 년","723","719","4",
"무악동","55~59세","2024 년","590","590","-",
"무악동","55~59세","2025 년","639","637","2",
"무악동","60~64세","2024 년","620","617","3",
"무악동","60~64세","2025 년","606","605","1",
"무악동","65~69세","2024 년","488","486","2",
"무악동","65~69세","2025 년","504","503","1",
"무악동","70~74세","2024 년","351","351","-",
"무악동","70~74세","2025 년","377","377","-",
"무악동","75~79세","2024 년","268","268","-",
"무악동","75~79세","2025 년","277","277","-",
"무악동","80~84세","2024 년","248","248","-",
"무악동","80~84세","2025 년","241","241","-",
"무악동","85~89세","2024 년","136","136","-",
"무악동","85~89세","2025 년","146","146","-",
"무악동","90~94세","2024 년","42","42","-",
"무악동","90~94세","2025 년","50","50","-",
"무악동","95~99세","2024 년","10","10","-",
"무악동","95~99세","2025 년","7","7","-",
"무악동","100세 이상","2024 년","3","3","-",
