접근수단,시군구_격자,행정동_격자,중분류,평균_H3SFCA,중앙값_H3SFCA,격자수,평균_접근가능가맹점수
도보,강북구,인수동,음악,0.00030764109997422935,0.0003076410999742294,53,1.0
도보,강북구,인수동,체육시설,0.002715610094151045,0.002759827464787472,116,6.4655172413793105
도보,강북구,인수동,체육용품,0.0004024326150360233,0.00033893431393991393,78,1.3974358974358974
도보,강서구,가양1동,도서,0.0013173275587384954,0.0006101120743499018,197,1.1979695431472082
도보,강서구,가양1동,문화체험,0.007063821511260953,0.003638213146068967,85,1.5058823529411764
도보,강서구,가양1동,영상,0.0026219055435347744,0.0026219055435347744,47,1.0
도보,강서구,가양1동,체육시설,0.25769831986700104,0.010421979441318658,299,3.076923076923077
도보,강서구,가양1동,체육용품,0.0014038940704895998,0.0013071620359983568,210,1.223809523809524
도보,강서구,가양2동,도서,0.000383206404794381,0.0003267212132484346,35,1.2
도보,강서구,가양2동,문화체험,0.0005216210104037528,0.00036197141741915376,53,1.5471698113207548
도보,강서구,가양2동,영상,0.00023835847914587089,0.00023266096474395544,18,1.0555555555555556
도보,강서구,가양2동,체육시설,0.001930344796745331,0.0011468409191740443,55,4.672727272727273
도보,강서구,가양2동,체육용품,0.00024040118245331453,0.0002363898915538738,41,1.024390243902439
도보,강서구,가양3동,도서,0.0014460149395507421,0.00129945208993943,25,1.48
도보,강서구,가양3동,문화체험,0.00042155523789784655,0.00029376801270422626,44,1.0227272727272727
도보,강서구,가양3동,영상,0.0006441455201738167,0.0008185284774966571,18,1.2777777777777777
도보,강서구,가양3동,체육시설,0.001710725881525072,0.001323809012563109,47,4.25531914893617
도보,강서구,가양3동,체육용품,0.0006624551232450168,0.0006653631243059465,32,1.09375
도보,강서구,공항동,도서,0.0009227196185610115,0.0008650633923966042,119,1.1092436974789917
도보,강서구,공항동,문화체험,0.0016336279268455362,0.0013472584356898402,89,1.7191011235955056
도보,강서구,공항동,체육시설,0.0036918642711017144,0.0030145686101076905,135,3.785185185185185
도보,강서구,공항동,체육용품,0.0012420052271149057,0.0012885114273011625,98,1.5510204081632653
도보,강서구,등촌1동,도서,0.0021752587430887557,0.001945569679735533,66,2.4545454545454546
도보,강서구,등촌1동,문화체험,0.002638627614871238,0.0031976962831475834,64,1.75
도보,강서구,등촌1동,영상,0.0007663559896793441,0.0008185284774966571,44,1.3181818181818181
도보,강서구,등촌1동,음악,0.0021869566210066665,0.0022213573347949693,8,1.125
도보,강서구,등촌1동,체육시설,0.003037733987157519,0.003213948015291609,62,3.435483870967742
도보,강서구,등촌1동,체육용품,0.001554035714107745,0.001741232829933177,52,1.4423076923076923
도보,강서구,등촌2동,도서,0.0010438408624974828,0.0009195282399792191,79,1.3291139240506329
도보,강서구,등촌2동,문화체험,0.0016437948419418234,0.0011067982440999974,76,2.026315789473684
도보,강서구,등촌2동,영상,0.0021729938085018607,0.0028502264740044624,3,4.333333333333333
도보,강서구,등촌2동,음악,0.0009684528448948611,0.00036738838725111904,27,1.2592592592592593
도보,강서구,등촌2동,체육시설,0.00621031419147713,0.002120254312242711,85,2.4941176470588236
도보,강서구,등촌2동,체육용품,0.0008195922330936735,0.0004780618924502716,70,1.0714285714285714
도보,강서구,등촌3동,도서,0.0009607269529442051,0.0007401287294367677,93,1.881720430107527
