접근수단,가맹점_ID,중분류,시설_유효수요,가맹점명,시군구_가맹점,소분류,공급량,시설_공급수요비
도보,STORE_01543,문화체험,251.0355678082043,공릉2동 주민자치회,노원구,문화체험,1.0,0.003983499265586214
도보,STORE_01531,체육시설,290.7478751841685,JG GYM (제이지휘트니스),노원구,체육시설,1.0,0.00343940604679078
도보,STORE_01583,체육시설,275.55445624556086,동천재활체육센터,노원구,체육시설,1.0,0.003629046735897634
도보,STORE_01689,체육시설,418.7546745154919,용인대백두산태권도,노원구,체육시설,1.0,0.0023880330438269645
도보,STORE_01727,체육시설,815.4250998566564,중계구민체육센터(서울특별시노원구서비스공단),노원구,체육시설,1.0,0.0012263542049120023
도보,STORE_01649,음악,604.3033126741147,세기악기사,노원구,음악,1.0,0.0016547981436257232
도보,STORE_01589,체육시설,813.0802998024998,레몬핏 중계점(레몬핏휘트니스),노원구,체육시설,1.0,0.0012298908241202052
도보,STORE_01562,도서,1017.9230089346241,꽃동산기독서점(대한예수교장로회꽃동산교회),노원구,도서,1.0,0.0009823925692048333
도보,STORE_01756,도서,865.9368194856052,한국성서대학교(서점),노원구,도서,1.0,0.0011548186628604529
도보,STORE_01584,도서,682.0864070984961,두란노문고 노원점,노원구,도서,1.0,0.0014660899111798248
도보,STORE_01565,체육시설,282.8048678853961,나이스당구장,노원구,체육시설,1.0,0.0035360070266019614
도보,STORE_01762,문화체험,1456.3449476582693,향수공방 퍼퓸플레이 노원,노원구,문화체험,1.0,0.0006866505092821247
도보,STORE_01707,체육시설,233.66409187993796,이음피트니스 헬스 PT 노원역점,노원구,체육시설,1.0,0.004279647728303171
도보,STORE_01675,도서,548.851148017759,언약기독교서점,노원구,도서,1.0,0.0018219876256278566
도보,STORE_01711,체육시설,395.2549479078155,임팩트 탁구클럽,노원구,체육시설,1.0,0.0025300126039996544
도보,STORE_01582,체육시설,134.52597412513148,더블랙볼링장,노원구,체육시설,1.0,0.0074335087071722965
도보,STORE_01720,체육시설,134.09317369106665,주식회사 와우짐,노원구,체육시설,1.0,0.00745750117231076
도보,STORE_01558,체육시설,155.99585237857505,금호스포츠센터,노원구,체육시설,1.0,0.006410426846305967
도보,STORE_01705,문화체험,581.7926473960069,위드피아노 노원점(노원위드피아노학원),노원구,문화체험,1.0,0.0017188254345870638
도보,STORE_01568,도서,349.3441007194587,노원문고 5매장,노원구,도서,1.0,0.002862507189732256
도보,STORE_01530,체육시설,253.57609433878292,"H,C평생교육원(주식회사 런케이에듀)",노원구,체육시설,1.0,0.003943589408960528
도보,STORE_01624,체육시설,109.31904917499232,블루짐,노원구,체육시설,1.0,0.009147536568848594
도보,STORE_01739,체육시설,385.46523362638555,큐빌리어드클럽,노원구,체육시설,1.0,0.002594267686847359
도보,STORE_01525,영상,645.7013418756642,(주)더숲아트시네마,노원구,영화,1.0,0.001548703611324629
도보,STORE_01617,체육시설,412.88720344394795,복싱팩토리짐,노원구,체육시설,1.0,0.0024219689824699453
도보,STORE_01706,체육시설,82.26240923003394,이라이요가 노원점(이라이요가 노원 플라잉요가 다이어트 피티),노원구,체육시설,1.0,0.012156220676732877
도보,STORE_01554,체육시설,65.64025735737222,그린라이트 볼링장,노원구,체육시설,1.0,0.015234553310106537
도보,STORE_01574,도서,114.36869670702369,놀숲 노원역점,노원구,도서,1.0,0.008743651268158478
도보,STORE_01592,영상,619.9240866314924,롯데컬처웍스㈜롯데시네마 노원,노원구,영화,1.0,0.0016131007353396157
도보,STORE_01681,체육시설,422.19398298012294,여성헬스 우먼핏,노원구,체육시설,1.0,0.0023685794689477617
도보,STORE_01666,도서,173.68977752345526,알라딘 중고서점 노원역점,노원구,도서,1.0,0.005757391219324688
도보,STORE_01614,도서,1163.5456093507448,벌툰 몽유도원 노원상계점,노원구,도서,1.0,0.0008594420295720055
도보,STORE_01640,문화체험,1094.016444528451,상계10동주민자치위원회,노원구,문화체험,1.0,0.0009140630426547431
도보,STORE_01658,체육시설,760.1167072569615,스텝비 복싱짐,노원구,체육시설,1.0,0.0013155874492072502
도보,STORE_01634,체육용품,1446.9636994658367,삼천리자전거 상계동일점,노원구,체육용품,1.0,0.0006911023409703792
도보,STORE_01737,체육용품,1280.2726430755401,코렉스자전거 보람대리점(동기상회),노원구,체육용품,1.0,0.0007810836273106219
도보,STORE_01749,체육시설,825.2982361854596,포커스복싱짐,노원구,체육시설,1.0,0.0012116831905784925
도보,STORE_01873,체육시설,227.39672291684735,창동탁구클럽,도봉구,체육시설,1.0,0.004397600753312844
도보,STORE_01834,체육시설,215.6403044580417,아이언복싱짐,도봉구,체육시설,1.0,0.004637352013174213
도보,STORE_01844,음악,1010.3692401699019,영창악기 도봉점(도봉악기),도봉구,음악,1.0,0.000989737177501407
도보,STORE_01778,체육시설,380.5651580927481,고수당구장(고수당구클럽),도봉구,체육시설,1.0,0.002627670922402961
도보,STORE_01805,영상,1953.1956748705618,메가박스 창동,도봉구,영화,1.0,0.0005119814736771163
도보,STORE_01776,체육시설,188.97626276169413,경희대라이언킹태권도,도봉구,체육시설,1.0,0.005291669892218347
도보,STORE_01819,도서,307.1290440388937,사진책방 책가도,도봉구,도서,1.0,0.003255960383458113
도보,STORE_01786,문화체험,661.782245379589,도봉구민회관,도봉구,문화체험,1.0,0.0015110710614885325
도보,STORE_01788,문화체험,661.782245379589,도봉문화원,도봉구,문화체험,1.0,0.0015110710614885325
도보,STORE_01876,도서,855.8254348636616,책방 비빌언덕 (비빌언덕),도봉구,도서,1.0,0.0011684625850823262
도보,STORE_01799,체육시설,157.35417390228642,랠리포인트짐,도봉구,체육시설,1.0,0.006355090400213843
도보,STORE_01836,음악,1358.164876692105,악기정류장,도봉구,음악,1.0,0.0007362876313187852
도보,STORE_01771,체육시설,220.12269501881661,MARC (대한무술문화복지협회),도봉구,체육시설,1.0,0.004542920937409555
도보,STORE_01782,체육시설,228.77466883854956,끌로에 필라테스(필라테스 끌로에 창동점 평생교육원),도봉구,체육시설,1.0,0.00437111331021407
도보,STORE_01810,체육시설,204.27737875977857,미화볼링센타(미화볼링장),도봉구,체육시설,1.0,0.004895304639560492
도보,STORE_01880,체육시설,204.25629665629202,"카인드짐 24시 휘트니스(카인드짐 헬스,PT,GX 창동점)",도봉구,체육시설,1.0,0.004895809903391762
도보,STORE_01846,도서,203.3878208279123,예일문고,도봉구,도서,1.0,0.00491671524838307
도보,STORE_01847,체육시설,104.26451549765119,와우기구필라테스 창동점,도봉구,체육시설,1.0,0.009590990714597694
도보,STORE_01784,체육시설,326.31733321689546,다엔PT 필라테스,도봉구,체육시설,1.0,0.003064501631408355
